id,text,x1,y1,x2,y2,src_x1,src_y1,src_x2,src_y2,tile,dup_of,fragment,surya_line,surya_conf,rotation,conflict
231,3,1371,2212,1388,2232,2561,4132,2593,4168,r3c2,,,,,0,
698,TAMPA STERM S,3133,2219,3150,2389,5851,4144,5883,4463,r4c5,,,,,0,
242,X,2676,2221,2687,2234,4999,4148,5019,4172,r3c4,,,,,0,
387,Paint,2626,2223,2646,2292,4904,4152,4941,4281,r3c4,,,,,0,
336,9104,1397,2224,1416,2271,2610,4153,2644,4241,r3c2,,,,,0,
280,12,2087,2229,2110,2249,3898,4164,3941,4201,r3c3,,,,,0,
507,Gen't W.Ho,1303,2231,1336,2340,2433,4166,2495,4370,r3c2,,,,,0,
389,Storge,2587,2236,2612,2294,4832,4176,4878,4284,r3c4,,,,,0,
287,1,2715,2238,2727,2252,5070,4181,5093,4205,r3c4,,,,,0,
378,X,2762,2240,2773,2252,5158,4184,5179,4205,r3c4,,,,,0,
384,Oils,2649,2248,2666,2290,4947,4198,4979,4277,r3c4,,,,,0,
454,"2""W.R",1473,2265,1490,2321,2752,4229,2783,4334,r3c2,,,,,0,
462,406,3021,2275,3042,2323,5643,4248,5682,4339,r3c5,,,,,0,
402,1,2715,2290,2725,2301,5070,4277,5089,4298,r3c4,,,,,0,
403,X,2761,2290,2775,2301,5156,4277,5182,4298,r3c4,,,,,0,
654,"PENCER, HENDERSON MY CO. LIVERY.",1614,2291,2070,2323,3015,4278,3867,4339,r3c3,,,,,0,
686,SPENCER HENDERS,1595,2292,1842,2324,2980,4281,3440,4340,r3c2,,,,,0,
521,9105,1397,2307,1418,2351,2610,4309,2648,4391,r4c2,,,,,0,
522,x,2623,2307,2688,2323,4900,4309,5020,4338,r4c4,,,,,0,
455,1,2623,2309,2630,2321,4900,4313,4913,4334,r3c4,,,,,0,
445,X,2680,2309,2689,2318,5006,4313,5023,4330,r3c4,,,,,0,
441,1/2,1595,2334,1616,2353,2978,4360,3019,4395,r4c2,,,,,0,
404,210,1570,2350,1589,2376,2932,4388,2968,4438,r4c2,,,,,0,
359,TANK.,2842,2370,2886,2382,5307,4426,5391,4448,r4c5,,,,,0,
583,1,2772,2380,2779,2392,5176,4445,5191,4468,r3c4,,,,,0,
309,x,1595,2392,1605,2403,2980,4467,2997,4489,r4c2,,,,,0,
408,x,2772,2392,2786,2405,5176,4467,5204,4491,r4c4,,,,,0,
623,TIDE WATER.,556,2396,615,2692,1039,4474,1148,5028,r4c1,,,,,0,
639,1,2884,2410,2893,2424,5386,4502,5403,4528,r3c4,,,,,0,
243,I,1297,2417,1314,2457,2422,4514,2453,4589,r4c2,,,,,0,
687,1,1297,2417,1314,2432,2422,4513,2453,4542,r3c2,,,,,0,
151,TANK.,2040,2453,2089,2469,3811,4582,3901,4611,r4c3,,,,,0,
170,1/2,1596,2458,1615,2477,2981,4590,3016,4626,r4c2,,,,,0,
161,2,2379,2465,2391,2480,4444,4603,4466,4632,r4c4,,,,,0,
125,x,2547,2469,2567,2484,4756,4611,4794,4639,r4c4,,,,,0,
233,x,2885,2472,2895,2482,5388,4618,5406,4635,r4c5,,,,,0,
298,210,1251,2474,1271,2511,2337,4621,2375,4689,r4c2,,,,,0,
